"413","3","11"
"414","815","33814"
"415","1262","41112"
"416","1215","62836"
"417","608","30441"
"418","817","32002"
"419","811","36691"
"421","326","33471"
"424","970","42387"
"425","1120","30867"
"427","4","87"
"429","9","600"
"431","1389","26254"
"433","262","11502"
"439","573","15697"
"441","1208","21060"
"444","1152","11233"
"445","635","21026"
"8773","1904","44650"
"8877","1425","229561"
"8878","87","2309"
"9041","167","5055"
"9064","161","3938"
"456","2","10"
"457","1","1"
"462","220","6170"
"463","119","3664"
"464","87","3885"
"465","144","5301"
"466","213","13968"
"467","32","826"
"468","183","3517"
"469","360","14597"
"470","175","6226"
"471","131","3644"
"472","254","7519"
"473","89","2155"
"474","70","3454"
"475","216","10181"
"476","140","7249"
"477","238","9618"
"478","224","14756"
"479","134","4780"
"480","205","13516"
"481","58","2736"
"482","31","801"
"483","172","8771"
"484","140","5881"
"485","141","6744"
"486","124","8244"
"487","211","11935"
"488","134","4256"
"489","154","8950"
"490","137","2951"
"491","181","3910"
"492","246","8223"
"493","183","11509"
"494","210","10795"
"495","172","6164"
"502","90","7103"
"503","100","7324"
"526","22","1625"
"527","124","4595"
"528","120","4475"
"529","171","10812"
"530","253","6250"
"531","103","5031"
"532","100","3677"
"533","77","5922"
"534","211","7190"
"535","266","8986"
"536","225","5801"
"537","117","2956"
"538","275","4171"
"539","26","1763"
"553","4","87"
"564","9","600"
"573","297","6213"
"574","289","4990"
"575","289","4659"
"576","250","5511"
"577","263","4805"
"578","1","76"
"586","11","541"
"587","251","10961"
"623","215","7784"
"624","144","3285"
"625","78","2396"
"627","136","2232"
"632","234","3331"
"633","198","3377"
"634","301","4442"
"635","155","4329"
"636","89","1738"
"637","231","3843"
"650","249","1015"
"651","263","1803"
"652","201","1785"
"653","439","6630"
"654","226","7287"
"655","170","5572"
"656","148","4864"
"657","91","3303"
"8774","208","5133"
"8775","397","8025"
"8776","511","11577"
"8777","222","4723"
"8778","161","3702"
"8779","394","11175"
"8879","232","30820"
"8880","76","17435"
"8881","126","31628"
"8882","117","27204"
"8883","57","9285"
"8884","251","35648"
"8885","197","34549"
"8886","85","16730"
"8887","272","24362"
"8888","12","1900"
"8889","14","333"
"8890","26","916"
"9019","8","180"
"9020","10","233"
"9023","9","206"
"9025","9","206"
"9027","4","91"
"9029","7","144"
"9038","74","10926"
"9040","62","8118"
"9042","167","5055"
"9059","11","315"
"9065","10","401"
"9081","151","3537"
"658","2","10"
"666","1","1"
"718","13","450"
"719","12","427"
"720","13","411"
"721","16","535"
"722","13","326"
"723","20","657"
"724","16","272"
"725","18","362"
"726","19","426"
"727","14","422"
"728","18","299"
"729","13","383"
"730","15","578"
"731","20","622"
"732","14","435"
"733","6","265"
"734","15","585"
"735","11","387"
"736","19","575"
"737","10","247"
"738","14","322"
"739","22","702"
"740","4","74"
"741","4","72"
"742","14","991"
"743","14","637"
"744","14","626"
"745","4","132"
"746","14","610"
"747","27","889"
"748","1","40"
"749","13","556"
"750","16","601"
"751","14","623"
"752","9","276"
"753","16","474"
"755","8","378"
"756","18","519"
"758","1","13"
"759","15","563"
"761","33","1258"
"763","17","1044"
"764","19","1456"
"765","20","1103"
"766","22","1742"
"767","18","1625"
"768","22","1557"
"769","22","1192"
"770","35","1325"
"771","18","1223"
"772","20","1701"
"773","20","542"
"775","1","19"
"776","1","32"
"780","10","233"
"782","21","607"
"784","13","262"
"785","17","400"
"786","13","267"
"787","15","281"
"788","16","267"
"789","16","454"
"790","4","63"
"791","19","331"
"792","30","350"
"794","19","235"
"795","22","565"
"796","18","839"
"797","12","689"
"798","23","619"
"799","14","550"
"800","6","53"
"801","14","207"
"802","23","643"
"803","17","506"
"804","11","865"
"805","18","809"
"806","12","605"
"807","25","693"
"808","16","936"
"809","13","679"
"810","19","629"
"811","12","416"
"812","12","631"
"813","14","677"
"814","20","986"
"815","3","114"
"816","21","1595"
"817","15","291"
"818","7","256"
"819","15","569"
"820","38","984"
"821","26","702"
"822","26","1236"
"823","12","463"
"824","6","261"
"826","16","469"
"827","18","567"
"828","11","719"
"829","11","247"
"830","5","90"
"831","14","388"
"832","1","13"
"833","6","254"
"834","19","550"
"835","19","505"
"836","9","176"
"837","11","400"
"838","10","406"
"839","10","286"
"840","1","3"
"841","15","326"
"842","12","431"
"843","22","585"
"844","1","7"
"845","22","793"
"846","26","704"
"847","16","540"
"848","34","507"
"849","15","534"
"850","11","339"
"851","13","359"
"852","8","190"
"853","14","501"
"854","18","605"
"855","13","381"
"856","17","556"
"857","12","487"
"858","16","529"
"859","1","26"
"860","19","273"
"861","23","707"
"863","9","216"
"864","21","404"
"869","9","467"
"870","9","523"
"871","12","420"
"873","16","709"
"874","12","707"
"875","12","628"
"877","11","419"
"878","12","663"
"879","12","687"
"880","12","605"
"881","18","835"
"882","17","822"
"883","20","710"
"884","15","774"
"885","19","851"
"886","16","812"
"887","17","751"
"888","22","1042"
"889","17","667"
"890","8","543"
"891","12","412"
"892","9","305"
"893","10","567"
"894","19","969"
"895","15","982"
"896","18","1102"
"897","15","797"
"898","14","657"
"899","11","494"
"900","17","964"
"901","21","793"
"902","19","603"
"903","23","643"
"904","23","853"
"905","26","1004"
"906","16","758"
"907","13","974"
"908","25","895"
"909","28","660"
"910","16","894"
"911","16","870"
"912","12","671"
"913","13","897"
"914","13","1033"
"915","17","1246"
"916","21","1506"
"917","13","798"
"918","9","890"
"919","21","1123"
"920","15","963"
"921","23","1118"
"923","19","1399"
"924","14","1004"
"925","19","1316"
"926","22","989"
"927","5","474"
"929","12","338"
"930","6","179"
"931","8","319"
"932","13","489"
"933","5","160"
"934","8","337"
"936","10","273"
"937","5","173"
"938","8","516"
"939","10","315"
"940","13","493"
"941","15","388"
"942","10","365"
"943","11","435"
"944","31","3154"
"945","20","895"
"946","13","560"
"947","19","926"
"948","15","791"
"949","18","982"
"950","14","490"
"951","16","735"
"952","14","903"
"953","17","797"
"954","9","347"
"955","19","2936"
"962","12","514"
"963","14","655"
"965","16","633"
"967","13","795"
"968","2","111"
"972","1","28"
"977","5","171"
"978","7","109"
"983","10","320"
"985","7","153"
"986","1","22"
"987","1","26"
"990","6","358"
"991","10","383"
"992","8","750"
"993","19","1089"
"994","18","1126"
"995","17","830"
"996","10","601"
"997","9","517"
"998","5","241"
"999","2","92"
"1000","8","317"
"1001","5","198"
"1002","5","257"
"1003","14","731"
"1004","10","397"
"1005","14","395"
"1006","12","489"
"1008","8","345"
"1009","8","313"
"1010","10","461"
"1011","9","564"
"1012","8","269"
"1013","12","323"
"1014","14","378"
"1015","9","310"
"1016","12","638"
"1017","11","325"
"1018","5","93"
"1020","9","400"
"1021","9","408"
"1022","10","423"
"1023","6","631"
"1027","7","503"
"1028","10","384"
"1029","6","275"
"1030","8","318"
"1031","10","225"
"1032","8","320"
"1034","28","1362"
"1035","6","317"
"1036","10","531"
"1037","6","382"
"1038","7","215"
"1039","7","424"
"1041","7","405"
"1042","4","117"
"1043","10","533"
"1044","7","433"
"1046","17","1224"
"1047","12","751"
"1048","11","690"
"1049","9","585"
"1050","4","373"
"1051","9","458"
"1052","9","629"
"1053","11","382"
"1054","13","1141"
"1055","8","567"
"1056","7","589"
"1057","7","377"
"1058","7","478"
"1059","18","1297"
"1060","18","1138"
"1061","16","878"
"1062","22","1408"
"1063","23","1512"
"1064","16","783"
"1065","31","1360"
"1066","14","856"
"1067","15","848"
"1068","12","462"
"1069","15","845"
"1070","11","548"
"1072","21","523"
"1073","11","585"
"1074","19","744"
"1077","25","547"
"1078","20","654"
"1081","19","413"
"1083","19","790"
"1086","14","757"
"1088","23","1019"
"1089","16","1133"
"1090","16","829"
"1092","17","1105"
"1093","17","1165"
"1094","14","631"
"1096","2","127"
"1097","20","1108"
"1098","15","1076"
"1099","21","354"
"1101","14","258"
"1102","12","387"
"1103","12","231"
"1106","13","234"
"1107","15","434"
"1108","7","86"
"1109","15","410"
"1110","12","308"
"1111","16","249"
"1112","19","238"
"1113","22","288"
"1114","22","693"
"1115","19","274"
"1117","19","291"
"1118","20","348"
"1119","17","744"
"1121","17","561"
"1122","19","251"
"1123","7","222"
"1124","17","531"
"1125","16","452"
"1126","23","982"
"1127","19","663"
"1128","19","380"
"1129","17","476"
"1130","14","530"
"1131","18","665"
"1132","22","480"
"1133","23","1246"
"1134","23","679"
"1135","8","200"
"1136","15","566"
"1137","11","369"
"1138","1","4"
"1139","11","488"
"1140","18","685"
"1141","6","264"
"1142","11","296"
"1143","11","788"
"1144","12","444"
"1145","25","3376"
"1146","9","341"
"1147","16","694"
"1148","11","376"
"1149","23","2518"
"1150","2","41"
"1151","7","267"
"1152","12","576"
"1153","9","355"
"1154","16","983"
"1155","15","660"
"1156","17","778"
"1157","16","991"
"1158","21","965"
"1159","20","905"
"1160","11","558"
"1161","22","1035"
"1162","23","1206"
"1163","18","1055"
"1164","17","783"
"1165","14","876"
"1166","19","613"
"1167","13","407"
"1168","15","550"
"1169","16","467"
"1170","9","180"
"1171","20","1093"
"1172","9","192"
"1173","21","857"
"1174","12","561"
"1175","17","733"
"1176","10","286"
"1177","11","225"
"1228","5","180"
"1229","10","1188"
"1230","9","377"
"1231","7","655"
"1232","9","830"
"1233","9","758"
"1234","12","2407"
"1235","9","981"
"1236","5","661"
"1237","12","936"
