"413","11"
"414","1350"
"415","1888"
"416","1602"
"417","1171"
"418","1329"
"419","960"
"421","342"
"424","1465"
"425","1731"
"427","4"
"429","10"
"431","1895"
"433","276"
"439","842"
"441","1618"
"444","1388"
"445","1114"
"8773","1961"
"8877","1432"
"8878","129"
"9041","214"
"9064","162"
"456","10"
"457","1"
"462","244"
"463","199"
"464","148"
"465","253"
"466","277"
"467","229"
"468","298"
"469","461"
"470","278"
"471","242"
"472","348"
"473","140"
"474","121"
"475","255"
"476","166"
"477","281"
"478","296"
"479","277"
"480","238"
"481","89"
"482","256"
"483","248"
"484","249"
"485","255"
"486","163"
"487","259"
"488","283"
"489","257"
"490","257"
"491","273"
"492","319"
"493","225"
"494","220"
"495","196"
"502","95"
"503","110"
"526","150"
"527","167"
"528","144"
"529","214"
"530","299"
"531","167"
"532","186"
"533","138"
"534","341"
"535","374"
"536","312"
"537","239"
"538","325"
"539","140"
"553","4"
"564","10"
"573","449"
"574","385"
"575","332"
"576","388"
"577","338"
"578","3"
"586","15"
"587","261"
"623","306"
"624","205"
"625","103"
"626","57"
"627","171"
"632","314"
"633","247"
"634","366"
"635","319"
"636","106"
"637","266"
"650","408"
"651","297"
"652","242"
"653","441"
"654","270"
"655","352"
"656","221"
"657","271"
"8774","215"
"8775","420"
"8776","523"
"8777","224"
"8778","165"
"8779","403"
"8879","233"
"8880","76"
"8881","128"
"8882","118"
"8883","57"
"8884","251"
"8885","197"
"8886","87"
"8887","272"
"8888","13"
"8889","45"
"8890","37"
"9019","8"
"9020","10"
"9023","9"
"9025","9"
"9027","4"
"9029","7"
"9038","74"
"9040","63"
"9042","214"
"9059","11"
"9065","10"
"9081","152"
"658","10"
"666","1"
"718","15"
"719","14"
"720","13"
"721","16"
"722","20"
"723","21"
"724","19"
"725","19"
"726","22"
"727","15"
"728","20"
"729","13"
"730","16"
"731","21"
"732","20"
"733","14"
"734","17"
"735","26"
"736","21"
"737","16"
"738","19"
"739","25"
"740","23"
"741","18"
"742","22"
"743","30"
"744","21"
"745","21"
"746","20"
"747","34"
"748","13"
"749","16"
"750","17"
"751","19"
"752","12"
"753","17"
"754","1"
"755","17"
"756","19"
"757","13"
"758","17"
"759","19"
"760","17"
"761","56"
"763","22"
"764","24"
"765","26"
"766","36"
"767","27"
"768","25"
"769","31"
"770","36"
"771","27"
"772","23"
"773","25"
"774","17"
"775","22"
"776","23"
"777","37"
"778","27"
"779","37"
"780","20"
"781","21"
"782","37"
"783","12"
"784","26"
"785","27"
"786","18"
"787","19"
"788","22"
"789","22"
"790","18"
"791","25"
"792","37"
"793","9"
"794","26"
"795","22"
"796","19"
"797","12"
"798","25"
"799","16"
"800","22"
"801","22"
"802","26"
"803","19"
"804","14"
"805","25"
"806","12"
"807","25"
"808","17"
"809","13"
"810","25"
"811","14"
"812","15"
"813","15"
"814","20"
